Objects,,,,,,,
100,,,,,,,
,,Global Angle Tello_DC5B8B:Tello_DC5B8B,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
3956,0,0.00740717,-0.0285403,-1.60824,3011.96,-2508.63,5.68779
3957,0,0.00743894,-0.0285544,-1.60825,3011.95,-2508.63,5.66793
3958,0,0.00752485,-0.0281473,-1.60801,3011.95,-2508.62,5.67185
3959,0,0.00740377,-0.0277011,-1.6079,3011.9,-2508.57,5.65034
3960,0,0.00721059,-0.0280043,-1.60796,3011.87,-2508.56,5.65873
3961,0,0.00701632,-0.0285134,-1.60806,3011.89,-2508.56,5.65828
3962,0,0.00713731,-0.0277158,-1.60779,3011.83,-2508.52,5.66744
3963,0,0.0070198,-0.0287577,-1.60861,3011.92,-2508.59,5.66829
3964,0,0.0068199,-0.0292506,-1.60853,3011.91,-2508.6,5.66054
3965,0,0.00609532,-0.0339679,-1.60833,3012,-2508.7,5.57789
3966,0,0.00655813,-0.0315364,-1.6084,3011.95,-2508.63,5.6109
3967,0,0.00666876,-0.0305286,-1.60854,3011.97,-2508.68,5.62525
3968,0,0.00694832,-0.0301155,-1.60851,3011.98,-2508.69,5.63788
3969,0,0.00704961,-0.0305076,-1.60868,3012.02,-2508.72,5.646
3970,0,0.00721415,-0.0302741,-1.60848,3011.99,-2508.66,5.66531
3971,0,0.00721447,-0.0301647,-1.60875,3012.03,-2508.7,5.6494
3972,0,0.00723823,-0.0292275,-1.60816,3011.94,-2508.62,5.66483
3973,0,0.00683493,-0.0293636,-1.60868,3011.97,-2508.68,5.65144
3974,0,0.0071848,-0.0288911,-1.60853,3011.99,-2508.67,5.66867
3975,0,0.00696958,-0.0287764,-1.60888,3012.03,-2508.69,5.63547
3976,0,0.00701523,-0.0285764,-1.60903,3012.05,-2508.7,5.65553
3977,0,0.00721018,-0.0294072,-1.60884,3012.02,-2508.68,5.66857
3978,0,0.00713275,-0.0296421,-1.60786,3011.95,-2508.63,5.67088
3979,0,0.00739181,-0.0286404,-1.6081,3011.96,-2508.63,5.69622
3980,0,0.00730974,-0.0286703,-1.60834,3011.97,-2508.66,5.69511
3981,0,0.00732238,-0.0292565,-1.60815,3011.99,-2508.66,5.68097
3982,0,0.00744377,-0.0300738,-1.60848,3012.02,-2508.69,5.68514
3983,0,0.00715335,-0.0321299,-1.60876,3012.04,-2508.71,5.65775
3984,0,0.00728799,-0.0304075,-1.60894,3012.03,-2508.7,5.66846
3985,0,0.00726396,-0.0305468,-1.60859,3012.03,-2508.71,5.65773
3986,0,0.00742844,-0.030303,-1.60812,3011.98,-2508.66,5.66225
3987,0,0.00689074,-0.0300339,-1.60878,3012.02,-2508.71,5.65156
3988,0,0.00739761,-0.0295304,-1.60854,3011.99,-2508.66,5.66914
3989,0,0.00745384,-0.029862,-1.60812,3011.96,-2508.61,5.6672
3990,0,0.00740769,-0.0292662,-1.60779,3011.95,-2508.62,5.65172
3991,0,0.00706759,-0.0282517,-1.60803,3011.9,-2508.57,5.64136
3992,0,0.00727072,-0.0295941,-1.60773,3011.9,-2508.6,5.65841
3993,0,0.00739118,-0.0298168,-1.60812,3011.96,-2508.64,5.64961
3994,0,0.007302,-0.0292721,-1.60829,3011.99,-2508.63,5.65971
3995,0,0.00713806,-0.0289444,-1.60859,3012.02,-2508.67,5.66124
3996,0,0.00697255,-0.0298193,-1.60892,3012.04,-2508.69,5.66052
3997,0,0.00709627,-0.0305261,-1.60908,3012.06,-2508.72,5.63414
3998,0,0.00702072,-0.0310966,-1.6085,3012.06,-2508.73,5.62668
3999,0,0.00722983,-0.0311361,-1.60808,3012.07,-2508.71,5.63581
4000,0,0.00694962,-0.0302994,-1.60836,3012.02,-2508.69,5.62001
4001,0,0.00717263,-0.0302319,-1.60769,3011.97,-2508.64,5.6578
4002,0,0.00724588,-0.0301936,-1.6077,3012.01,-2508.67,5.66217
4003,0,0.00721883,-0.0300043,-1.60809,3011.99,-2508.65,5.68413
4004,0,0.00724704,-0.029433,-1.60798,3011.92,-2508.6,5.69125
4005,0,0.00707266,-0.0306801,-1.60806,3011.96,-2508.65,5.68925
4006,0,0.00699893,-0.0303837,-1.60816,3011.94,-2508.62,5.69706
4007,0,0.00693932,-0.0308487,-1.60826,3011.99,-2508.68,5.66907
4008,0,0.00683034,-0.0311864,-1.6083,3012.01,-2508.71,5.65969
4009,0,0.00685736,-0.0310038,-1.60823,3011.99,-2508.68,5.67518
4010,0,0.00709729,-0.0297803,-1.60896,3012.02,-2508.71,5.66296
4011,0,0.00647388,-0.0277679,-1.60922,3011.96,-2508.68,5.65754
4012,0,0.00671594,-0.0288342,-1.60901,3012.01,-2508.68,5.64143
4013,0,0.00664599,-0.0298239,-1.60926,3012.05,-2508.73,5.64084
4014,0,0.00690841,-0.0279649,-1.6085,3011.93,-2508.61,5.66399
4015,0,0.0067255,-0.0278498,-1.60862,3011.97,-2508.63,5.65386
4016,0,0.00659513,-0.0284543,-1.60861,3012.01,-2508.68,5.65344
4017,0,0.00672152,-0.0281692,-1.60856,3011.99,-2508.66,5.61741
4018,0,0.00690755,-0.029007,-1.60854,3012.01,-2508.7,5.62642
4019,0,0.00714471,-0.0291893,-1.60833,3011.98,-2508.64,5.64889
4020,0,0.00721099,-0.0293201,-1.60851,3012.01,-2508.67,5.65036
4021,0,0.00613496,-0.0342711,-1.60756,3011.99,-2508.64,5.55393
4022,0,0.00632503,-0.0331478,-1.60816,3012.03,-2508.69,5.58735
4023,0,0.00667593,-0.0318713,-1.60823,3012.01,-2508.67,5.63122
4024,0,0.00703792,-0.0309663,-1.60836,3012.03,-2508.68,5.62063
4025,0,0.00682857,-0.0308584,-1.60869,3012.03,-2508.69,5.64547
4026,0,0.0069398,-0.0299895,-1.6088,3012.04,-2508.7,5.63031
4027,0,0.00687079,-0.030604,-1.60825,3011.98,-2508.66,5.63379
4028,0,0.00690793,-0.0303819,-1.60842,3012.04,-2508.69,5.62955
4029,0,0.00716393,-0.0289705,-1.60877,3012.02,-2508.67,5.64881
4030,0,0.00731471,-0.0292782,-1.60864,3012.01,-2508.65,5.66259
4031,0,0.00694883,-0.0298095,-1.60896,3012.03,-2508.7,5.65925
4032,0,0.00710185,-0.0295056,-1.60895,3012.02,-2508.68,5.6685
4033,0,0.00691858,-0.0288736,-1.60869,3012.01,-2508.68,5.63779
